# N=25 REP=500 dy=0.01
# GRG
# cicle p
0 0
0.0125 0
0.01875 0
0.021875 0.002
0.025 0.012
0.03125 0.008
0.034375 0.018
0.0375 0.024
0.04375 0.03
0.0453125 0.034
0.0460938 0.06
0.046875 0.048
0.0484375 0.056
0.0492188 0.072
0.05 0.07
0.0507812 0.078
0.0515625 0.088
0.053125 0.084
0.0539063 0.098
0.0546875 0.072
0.0554687 0.102
0.05625 0.108
0.059375 0.11
0.0609375 0.116
0.0617188 0.162
0.0625 0.144
0.0632812 0.164
0.0640625 0.186
0.0648438 0.176
0.065625 0.198
0.06875 0.2
0.0703125 0.208
0.0710938 0.234
0.071875 0.248
0.075 0.25
0.0757813 0.284
0.0765625 0.284
0.0773438 0.324
0.078125 0.352
0.0789063 0.34
0.0796875 0.306
0.0804688 0.344
0.08125 0.338
0.0820313 0.38
0.0828125 0.386
0.0835938 0.406
0.084375 0.356
0.0851563 0.434
0.0859375 0.432
0.0875 0.424
0.0882813 0.412
0.0890625 0.46
0.0898438 0.494
0.090625 0.478
0.0914063 0.504
0.0921875 0.494
0.0929688 0.522
0.09375 0.552
0.096875 0.554
0.0976562 0.532
0.0984375 0.576
0.0992188 0.576
0.1 0.586
0.100781 0.594
0.101562 0.606
0.102344 0.64
0.103125 0.63
0.103906 0.664
0.104688 0.66
0.105469 0.666
0.10625 0.678
0.107031 0.688
0.107813 0.652
0.108594 0.694
0.109375 0.726
0.110156 0.718
0.110937 0.746
0.1125 0.746
0.113281 0.72
0.114063 0.758
0.115625 0.76
0.116406 0.826
0.117188 0.774
0.117969 0.794
0.11875 0.794
0.119531 0.818
0.120312 0.816
0.121094 0.802
0.121875 0.826
0.122656 0.838
0.123438 0.878
0.125 0.874
0.126562 0.87
0.127344 0.874
0.128125 0.86
0.128906 0.892
0.129688 0.904
0.130469 0.922
0.13125 0.888
0.132031 0.904
0.132812 0.91
0.134375 0.914
0.135156 0.924
0.135938 0.924
0.136719 0.928
0.1375 0.948
0.138281 0.932
0.139063 0.936
0.140625 0.928
0.141406 0.95
0.142188 0.97
0.142969 0.948
0.14375 0.96
0.146875 0.962
0.148438 0.97
0.149219 0.96
0.15 0.98
0.15625 0.98
0.157031 0.992
0.157813 0.99
0.159375 0.992
0.1625 0.994
0.175 1
0.2 1
0.3 1
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
1 1
