# N=100 REP=500 dy=0.1
# BRG
# midaCompConMax p
0 1
0.00078125 2.208
0.0015625 2.85
0.00234375 3.436
0.003125 4.058
0.00390625 4.852
0.0046875 5.724
0.00546875 6.782
0.00625 8.326
0.00703125 9.608
0.0078125 11.612
0.00859375 14.47
0.009375 16.67
0.0101563 20.626
0.0109375 24.15
0.0117188 30.31
0.0125 34.592
0.0132813 40.746
0.0140625 47.104
0.0148437 53.352
0.015625 58.174
0.0164063 63.002
0.0171875 67.222
0.0179688 71.066
0.01875 73.986
0.0195313 77.496
0.0203125 79.54
0.0210938 81.828
0.021875 83.632
0.0226563 85.45
0.0234375 86.258
0.0242188 88.03
0.025 88.898
0.0257813 89.776
0.0265625 91.194
0.0273438 91.902
0.028125 92.612
0.0289063 93.088
0.0296875 93.928
0.0304687 94.346
0.03125 94.74
0.0320312 95.284
0.0328125 95.71
0.0335938 96.23
0.034375 96.482
0.0351562 96.67
0.0359375 96.986
0.0367188 97.386
0.0375 97.494
0.0382813 97.758
0.0390625 97.816
0.0398438 98.03
0.040625 98.218
0.0414063 98.4
0.0421875 98.458
0.0429688 98.676
0.04375 98.632
0.0445313 98.88
0.0453125 98.918
0.0460938 99.07
0.046875 99.114
0.0476562 99.092
0.0484375 99.232
0.0492188 99.252
0.05 99.358
0.0515625 99.436
0.053125 99.494
0.0546875 99.592
0.05625 99.628
0.0578125 99.728
0.059375 99.74
0.0625 99.82
0.06875 99.906
0.075 99.964
0.1 100
0.2 100
0.3 100
0.4 100
0.5 100
0.6 100
0.7 100
0.8 100
0.9 100
1 100
