# N=150 REP=500 dy=0.1
# BRG
# midaCompConMax p
0 1
0.00078125 2.652
0.0015625 3.782
0.00234375 4.922
0.003125 6.408
0.00390625 8.514
0.0046875 11.532
0.00546875 15.418
0.00625 22.122
0.00703125 30.722
0.0078125 42.754
0.00859375 55.266
0.009375 72.376
0.0101563 85.004
0.0109375 96.096
0.0117188 104.848
0.0125 112.968
0.0132813 118.224
0.0140625 122.602
0.0148437 127.054
0.015625 130.246
0.0164063 133.042
0.0171875 135.526
0.0179688 136.84
0.01875 138.784
0.0195313 140.544
0.0203125 141.79
0.0210938 142.714
0.021875 143.546
0.0226563 144.326
0.0234375 144.922
0.0242188 145.892
0.025 146.11
0.0257813 146.656
0.0265625 147.21
0.0273438 147.422
0.028125 147.768
0.0289063 148.116
0.0296875 148.264
0.0304687 148.502
0.03125 148.632
0.0320312 148.822
0.0328125 148.92
0.0335938 148.95
0.034375 149.146
0.0351562 149.274
0.0359375 149.312
0.0367188 149.438
0.0375 149.492
0.0390625 149.56
0.040625 149.616
0.0414063 149.708
0.0421875 149.718
0.04375 149.802
0.0453125 149.838
0.046875 149.916
0.05 149.958
0.1 150
0.2 150
0.3 150
0.4 150
0.5 150
0.6 150
0.7 150
0.8 150
0.9 150
1 150
