# N=50 REP=500 dy=0.001
# BRG
# esConnex p
0 0
0.025 0
0.0375 0
0.04375 0
0.0445313 0.002
0.0453125 0.004
0.0460938 0.002
0.046875 0.006
0.0476562 0.006
0.0484375 0.008
0.05 0.008
0.0507812 0.012
0.0515625 0.018
0.0523438 0.022
0.053125 0.04
0.0539063 0.034
0.0546875 0.03
0.0554687 0.058
0.05625 0.048
0.0570313 0.052
0.0578125 0.066
0.0585938 0.078
0.059375 0.102
0.0601562 0.102
0.0609375 0.092
0.0617188 0.098
0.0625 0.132
0.0632812 0.146
0.0640625 0.14
0.0648438 0.176
0.065625 0.162
0.0664062 0.18
0.0671875 0.176
0.0679688 0.19
0.06875 0.238
0.071875 0.238
0.0726563 0.322
0.0734375 0.288
0.0742188 0.288
0.075 0.338
0.0757813 0.328
0.0765625 0.348
0.0773438 0.37
0.078125 0.39
0.0789063 0.396
0.0796875 0.412
0.0804688 0.45
0.08125 0.44
0.0820313 0.436
0.0828125 0.472
0.0835938 0.488
0.084375 0.506
0.0851563 0.526
0.0859375 0.514
0.0867188 0.54
0.0875 0.594
0.0882813 0.576
0.0890625 0.632
0.0898438 0.582
0.090625 0.62
0.0914063 0.672
0.0921875 0.658
0.0929688 0.65
0.09375 0.706
0.0945312 0.668
0.0953125 0.686
0.0960938 0.694
0.096875 0.716
0.0976562 0.718
0.0984375 0.724
0.0992188 0.738
0.1 0.746
0.100781 0.79
0.101562 0.784
0.102344 0.788
0.103125 0.782
0.103906 0.834
0.104688 0.806
0.105469 0.784
0.10625 0.834
0.107031 0.846
0.107813 0.846
0.108594 0.842
0.109375 0.836
0.110156 0.846
0.110937 0.854
0.111719 0.852
0.1125 0.85
0.113281 0.862
0.114063 0.868
0.114844 0.884
0.115625 0.896
0.116406 0.88
0.117188 0.904
0.117969 0.89
0.11875 0.898
0.119531 0.902
0.120312 0.904
0.121094 0.908
0.121875 0.918
0.122656 0.918
0.123438 0.934
0.124219 0.932
0.125 0.946
0.125781 0.948
0.126562 0.926
0.127344 0.956
0.128125 0.93
0.128906 0.928
0.129688 0.954
0.130469 0.934
0.13125 0.96
0.132031 0.954
0.132812 0.95
0.133594 0.966
0.134375 0.956
0.135156 0.97
0.135938 0.964
0.136719 0.966
0.1375 0.962
0.138281 0.978
0.139063 0.972
0.140625 0.972
0.141406 0.97
0.142188 0.966
0.142969 0.982
0.14375 0.986
0.15 0.986
0.150781 0.98
0.151563 0.984
0.152344 0.988
0.153125 0.994
0.154688 0.994
0.155469 0.988
0.15625 0.988
0.157031 0.986
0.157813 0.992
0.158594 0.98
0.159375 0.996
0.1625 0.996
0.163281 0.992
0.164063 0.992
0.164844 0.99
0.165625 0.994
0.166406 1
0.167188 0.99
0.167969 0.988
0.16875 0.992
0.170313 0.992
0.171094 0.988
0.171875 0.99
0.172656 0.994
0.173438 0.998
0.174219 0.994
0.175 0.994
0.1875 0.994
0.188281 0.994
0.189062 0.996
0.189844 1
0.190625 0.998
0.192188 0.998
0.192969 0.998
0.19375 0.992
0.194531 0.998
0.195312 0.996
0.196094 1
0.196875 1
0.2 1
0.3 1
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
1 1
