# N=25 REP=500 dy=0.01
# BRG
# cicle p
0 0
0.0125 0.004
0.015625 0.006
0.0171875 0.01
0.0179688 0.026
0.01875 0.024
0.021875 0.032
0.0226563 0.034
0.0234375 0.056
0.0242188 0.048
0.025 0.07
0.028125 0.068
0.0289063 0.098
0.0296875 0.098
0.03125 0.092
0.0320312 0.14
0.0328125 0.124
0.0335938 0.152
0.034375 0.136
0.0351562 0.162
0.0359375 0.202
0.0367188 0.18
0.0375 0.22
0.0382813 0.18
0.0390625 0.268
0.0398438 0.252
0.040625 0.236
0.0414063 0.258
0.0421875 0.298
0.0429688 0.302
0.04375 0.324
0.0445313 0.304
0.0453125 0.338
0.0460938 0.352
0.046875 0.418
0.0476562 0.402
0.0484375 0.394
0.0492188 0.41
0.05 0.452
0.0507812 0.484
0.0515625 0.49
0.0523438 0.536
0.053125 0.562
0.0539063 0.526
0.0546875 0.6
0.0554687 0.57
0.05625 0.624
0.0570313 0.62
0.0578125 0.642
0.059375 0.646
0.0601562 0.68
0.0609375 0.672
0.0617188 0.722
0.0625 0.728
0.065625 0.72
0.0664062 0.804
0.0671875 0.764
0.0679688 0.8
0.06875 0.794
0.0695313 0.796
0.0703125 0.826
0.0710938 0.846
0.071875 0.844
0.0726563 0.88
0.0734375 0.862
0.0742188 0.888
0.075 0.902
0.0765625 0.906
0.0773438 0.906
0.078125 0.934
0.0789063 0.944
0.0796875 0.948
0.0804688 0.936
0.08125 0.96
0.084375 0.96
0.0859375 0.968
0.0875 0.97
0.0890625 0.976
0.0898438 0.982
0.090625 0.988
0.09375 0.984
0.096875 0.99
0.1 0.998
0.2 1
0.3 1
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
1 1
