# N=80 REP=500 dy=0.1
# BRG
# midaCompConMax p
0 1
0.00078125 2.084
0.0015625 2.48
0.00234375 2.874
0.003125 3.394
0.00390625 3.852
0.0046875 4.472
0.00546875 5.036
0.00625 5.952
0.00703125 6.538
0.0078125 7.288
0.00859375 8.286
0.009375 9.874
0.0101563 11.418
0.0109375 12.73
0.0117188 14.812
0.0125 17.398
0.0132813 19.788
0.0140625 22.96
0.0148437 25.532
0.015625 28.152
0.0164063 32.58
0.0171875 36.264
0.0179688 38.396
0.01875 42.466
0.0195313 46.244
0.0203125 49.55
0.0210938 51.652
0.021875 54.806
0.0226563 57.988
0.0234375 59.17
0.0242188 61.16
0.025 62.512
0.0257813 64.948
0.0265625 65.216
0.0273438 66.882
0.028125 67.886
0.0289063 68.294
0.0296875 69.72
0.0304687 70.784
0.03125 71.408
0.0320312 71.838
0.0328125 72.468
0.0335938 73.182
0.034375 73.512
0.0351562 74.224
0.0359375 74.494
0.0367188 74.796
0.0375 75.142
0.0382813 75.66
0.0390625 75.87
0.0398438 76.112
0.040625 76.536
0.0414063 76.82
0.0421875 77.006
0.0429688 77.296
0.04375 77.418
0.0445313 77.522
0.0453125 77.612
0.0460938 77.794
0.046875 77.964
0.0476562 78.138
0.0484375 78.32
0.0492188 78.336
0.05 78.534
0.0515625 78.578
0.0523438 78.762
0.053125 78.83
0.0539063 78.964
0.0546875 79.046
0.05625 79.072
0.0570313 79.206
0.0578125 79.212
0.059375 79.306
0.0609375 79.356
0.0617188 79.472
0.0625 79.496
0.0640625 79.584
0.065625 79.608
0.06875 79.676
0.0703125 79.736
0.071875 79.812
0.075 79.834
0.0875 79.93
0.1 79.982
0.2 80
0.3 80
0.4 80
0.5 80
0.6 80
0.7 80
0.8 80
0.9 80
1 80
