# N=60 REP=500 dy=0.1
# BRG
# midaCompConMax p
0 1
0.00078125 1.772
0.0015625 2.138
0.00234375 2.434
0.003125 2.746
0.00390625 3.042
0.0046875 3.45
0.00546875 3.7
0.00625 4.178
0.00703125 4.468
0.0078125 4.964
0.00859375 5.404
0.009375 5.936
0.0101563 6.508
0.0109375 7.302
0.0117188 7.774
0.0125 8.524
0.0132813 9.326
0.0140625 10.156
0.0148437 11.262
0.015625 12.516
0.0164063 13.642
0.0171875 14.866
0.0179688 16.682
0.01875 17.986
0.0195313 20.38
0.0203125 22.006
0.0210938 22.536
0.021875 24.256
0.0226563 26.606
0.0234375 27.89
0.0242188 30.342
0.025 31.446
0.0257813 33.33
0.0265625 35.188
0.0273438 37.48
0.028125 38.458
0.0289063 40.144
0.0296875 41.516
0.0304687 42.324
0.03125 43.97
0.0320312 44.688
0.0328125 45.882
0.0335938 46.774
0.034375 48.264
0.0351562 48.542
0.0359375 49.378
0.0367188 49.714
0.0375 50.86
0.0382813 51.32
0.0390625 52.054
0.0398438 52.294
0.040625 52.862
0.0414063 53.242
0.0421875 53.436
0.0429688 54.21
0.04375 54.39
0.0445313 54.764
0.0453125 55.016
0.0460938 54.97
0.046875 55.42
0.0476562 55.834
0.0484375 56.248
0.0492188 56.342
0.05 56.396
0.0507812 56.704
0.0515625 56.896
0.0523438 57.094
0.053125 57.174
0.0539063 57.364
0.0546875 57.37
0.0554687 57.636
0.05625 57.778
0.0570313 57.756
0.0578125 57.996
0.0585938 58.038
0.059375 58.252
0.0609375 58.29
0.0617188 58.552
0.0625 58.554
0.0632812 58.576
0.0640625 58.668
0.065625 58.754
0.0664062 58.84
0.0671875 58.866
0.0679688 58.988
0.06875 59.044
0.0695313 59.07
0.0703125 59.168
0.071875 59.226
0.0734375 59.284
0.075 59.348
0.0765625 59.39
0.0773438 59.466
0.078125 59.5
0.08125 59.594
0.0828125 59.622
0.084375 59.698
0.0875 59.75
0.09375 59.818
0.1 59.898
0.15 59.996
0.2 60
0.3 60
0.4 60
0.5 60
0.6 60
0.7 60
0.8 60
0.9 60
1 60
