# N=10 REP=500 dy=0.1
# BRG
# midaCompConMax p
0 1
0.0015625 1.07
0.003125 1.136
0.0046875 1.194
0.00625 1.26
0.0078125 1.332
0.009375 1.368
0.0125 1.46
0.0132813 1.518
0.0140625 1.56
0.015625 1.59
0.01875 1.664
0.021875 1.722
0.0226563 1.804
0.0234375 1.85
0.025 1.948
0.028125 1.91
0.0296875 1.956
0.0304687 2.05
0.03125 2.11
0.034375 2.116
0.0359375 2.188
0.0375 2.216
0.0382813 2.258
0.0390625 2.34
0.040625 2.336
0.0421875 2.392
0.0429688 2.404
0.04375 2.516
0.05 2.6
0.0515625 2.658
0.053125 2.73
0.05625 2.808
0.0570313 2.868
0.0578125 2.95
0.059375 2.91
0.0625 2.914
0.0640625 2.978
0.0648438 3.084
0.065625 3.09
0.06875 3.146
0.0703125 3.232
0.0710938 3.376
0.071875 3.408
0.075 3.43
0.0765625 3.51
0.078125 3.576
0.08125 3.648
0.0828125 3.652
0.0835938 3.754
0.084375 3.938
0.0851563 3.85
0.0859375 3.692
0.0875 3.782
0.0882813 3.768
0.0890625 4.002
0.090625 4.076
0.09375 4.128
0.096875 4.132
0.0976562 4.31
0.0984375 4.318
0.1 4.31
0.101562 4.376
0.103125 4.436
0.10625 4.464
0.107031 4.61
0.107813 4.61
0.108594 4.612
0.109375 4.824
0.1125 4.866
0.115625 4.932
0.117188 4.962
0.117969 5.014
0.11875 5.116
0.125 5.178
0.126562 5.102
0.127344 5.32
0.128125 5.296
0.128906 5.5
0.129688 5.762
0.130469 5.456
0.13125 5.428
0.132812 5.434
0.133594 5.868
0.134375 5.736
0.135156 5.484
0.135938 5.488
0.1375 5.564
0.138281 5.746
0.139063 5.754
0.140625 5.8
0.142188 5.884
0.142969 5.944
0.14375 6.078
0.146875 6.036
0.147656 5.934
0.148438 6.252
0.149219 5.95
0.15 6.386
0.15625 6.352
0.157031 6.412
0.157813 6.586
0.159375 6.612
0.1625 6.532
0.164063 6.552
0.164844 6.566
0.165625 6.846
0.167188 6.782
0.167969 6.898
0.16875 6.982
0.175 6.924
0.175781 7.158
0.176563 7.092
0.178125 7.182
0.179688 7.11
0.180469 7.09
0.18125 7.346
0.1875 7.376
0.190625 7.458
0.191406 7.55
0.192188 7.62
0.19375 7.644
0.2 7.682
0.201563 7.714
0.202344 7.942
0.203125 8.048
0.203906 7.8
0.204688 7.816
0.205469 8.004
0.20625 7.926
0.207813 7.96
0.208594 7.958
0.209375 8.096
0.2125 8.19
0.21875 8.24
0.219531 8.338
0.220312 8.346
0.221875 8.342
0.223438 8.384
0.225 8.464
0.228125 8.368
0.228906 8.498
0.229688 8.52
0.230469 8.32
0.23125 8.626
0.2375 8.584
0.239062 8.646
0.240625 8.698
0.24375 8.726
0.246875 8.792
0.248438 8.884
0.25 8.912
0.2625 9.012
0.26875 9.08
0.271875 9.026
0.272656 9.266
0.273438 9.134
0.274219 9.158
0.275 9.24
0.2875 9.32
0.29375 9.352
0.296875 9.428
0.3 9.484
0.325 9.536
0.328125 9.608
0.33125 9.65
0.3375 9.692
0.35 9.762
0.375 9.836
0.4 9.892
0.5 9.984
0.6 10
0.7 9.998
0.8 10
0.9 10
1 10
