# N=100 REP=500 dy=0.001
# BRG
# esConnex p
0 0
0.025 0
0.0265625 0
0.0273438 0.004
0.028125 0.002
0.0296875 0.002
0.0304687 0.008
0.03125 0.014
0.0320312 0.018
0.0328125 0.034
0.0335938 0.014
0.034375 0.05
0.0351562 0.05
0.0359375 0.084
0.0367188 0.102
0.0375 0.116
0.0382813 0.1
0.0390625 0.118
0.0398438 0.16
0.040625 0.2
0.0414063 0.176
0.0421875 0.232
0.0429688 0.242
0.04375 0.332
0.0445313 0.326
0.0453125 0.386
0.0460938 0.386
0.046875 0.432
0.0476562 0.432
0.0484375 0.43
0.0492188 0.512
0.05 0.518
0.0507812 0.578
0.0515625 0.592
0.0523438 0.6
0.053125 0.64
0.0539063 0.66
0.0546875 0.688
0.0554687 0.678
0.05625 0.726
0.0570313 0.694
0.0578125 0.774
0.0585938 0.76
0.059375 0.786
0.0601562 0.802
0.0609375 0.848
0.0617188 0.82
0.0625 0.854
0.0632812 0.828
0.0640625 0.858
0.0648438 0.878
0.065625 0.896
0.0664062 0.894
0.0671875 0.914
0.0679688 0.902
0.06875 0.92
0.0695313 0.91
0.0703125 0.946
0.0710938 0.94
0.071875 0.944
0.0726563 0.946
0.0734375 0.958
0.0742188 0.948
0.075 0.952
0.0757813 0.968
0.0765625 0.954
0.0773438 0.968
0.078125 0.964
0.0789063 0.958
0.0796875 0.97
0.0804688 0.984
0.08125 0.976
0.0820313 0.978
0.0828125 0.988
0.084375 0.988
0.0851563 0.992
0.0859375 0.99
0.0867188 0.98
0.0875 0.982
0.0882813 0.988
0.0890625 0.994
0.0898438 0.994
0.090625 0.988
0.0914063 0.994
0.0921875 0.998
0.0929688 0.992
0.09375 0.996
0.0945312 0.996
0.0953125 0.994
0.0960938 0.996
0.096875 0.998
0.1 0.998
0.100781 0.998
0.101562 0.988
0.102344 0.998
0.103125 1
0.10625 1
0.1125 1
0.125 1
0.15 1
0.2 1
0.3 1
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
1 1
