# N=25 REP=500 dy=0.1
# BRG
# midaCompConMax p
0 1
0.00078125 1.2
0.0015625 1.394
0.00234375 1.554
0.003125 1.768
0.00390625 1.792
0.0046875 1.888
0.00546875 2.012
0.00625 2.134
0.00703125 2.172
0.0078125 2.272
0.00859375 2.346
0.009375 2.394
0.0101563 2.51
0.0109375 2.618
0.0117188 2.638
0.0125 2.8
0.0132813 2.872
0.0140625 3.068
0.0148437 3.068
0.015625 3.218
0.0164063 3.24
0.0171875 3.39
0.0179688 3.55
0.01875 3.718
0.0195313 3.676
0.0203125 3.824
0.0210938 3.992
0.021875 4.086
0.0226563 4.232
0.0234375 4.228
0.0242188 4.524
0.025 4.662
0.0257813 4.644
0.0265625 4.888
0.0273438 5.044
0.028125 5.316
0.0289063 5.298
0.0296875 5.504
0.0304687 5.694
0.03125 6.002
0.0320312 6.202
0.0328125 6.22
0.0335938 6.53
0.034375 6.714
0.0351562 6.542
0.0359375 6.932
0.0367188 7.04
0.0375 7.208
0.0382813 7.56
0.0390625 7.894
0.0398438 7.922
0.040625 7.73
0.0414063 8.402
0.0421875 8.152
0.0429688 8.748
0.04375 8.986
0.0445313 9.178
0.0453125 9.096
0.0460938 9.73
0.046875 9.758
0.0476562 10.214
0.0484375 10.452
0.0492188 10.652
0.05 10.756
0.0507812 10.872
0.0515625 11.116
0.0523438 11.534
0.053125 11.812
0.0539063 12.018
0.0546875 12.37
0.0554687 12.298
0.05625 12.726
0.0570313 12.552
0.0578125 13.062
0.0585938 13.238
0.059375 13.75
0.0601562 13.676
0.0609375 14.362
0.0617188 14.448
0.0625 14.942
0.0632812 14.662
0.0640625 15.082
0.0648438 15.534
0.065625 15.494
0.0664062 15.824
0.0671875 15.84
0.0679688 15.676
0.06875 16.32
0.0695313 16.526
0.0703125 16.848
0.071875 16.922
0.0726563 17.176
0.0734375 17.678
0.0742188 17.862
0.075 18.158
0.0757813 17.782
0.0765625 18.482
0.0773438 18.506
0.078125 18.808
0.0789063 18.646
0.0796875 19.444
0.08125 19.366
0.0820313 19.062
0.0828125 19.882
0.084375 19.842
0.0851563 20.336
0.0859375 20.154
0.0867188 20.198
0.0875 20.316
0.0882813 20.448
0.0890625 21.012
0.090625 21.072
0.09375 21.166
0.0945312 21.43
0.0953125 21.74
0.0960938 21.698
0.096875 21.918
0.0984375 21.852
0.0992188 22.182
0.1 22.106
0.100781 22.382
0.101562 22.346
0.102344 22.466
0.103125 22.496
0.104688 22.478
0.105469 22.634
0.10625 22.706
0.107813 22.734
0.109375 22.812
0.110156 22.86
0.110937 22.926
0.1125 22.992
0.113281 22.938
0.114063 23.14
0.114844 23.222
0.115625 23.25
0.116406 23.28
0.117188 23.488
0.11875 23.432
0.120312 23.432
0.121094 23.47
0.121875 23.58
0.125 23.67
0.125781 23.794
0.126562 23.92
0.128125 23.872
0.129688 23.852
0.130469 23.944
0.13125 23.996
0.134375 24.054
0.135938 24.07
0.136719 24.21
0.1375 24.224
0.14375 24.242
0.144531 24.332
0.145313 24.378
0.146875 24.376
0.15 24.442
0.153125 24.456
0.154688 24.524
0.15625 24.56
0.1625 24.566
0.16875 24.644
0.175 24.73
0.18125 24.77
0.1875 24.862
0.2 24.886
0.25 24.972
0.3 24.992
0.4 25
0.5 25
0.6 25
0.7 25
0.8 25
0.9 25
1 25
