# N=80 REP=500 dy=0.001
# BRG
# esConnex p
0 0
0.025 0
0.028125 0
0.0296875 0
0.0304687 0
0.03125 0.002
0.0320312 0.002
0.0328125 0
0.0335938 0
0.034375 0.01
0.0359375 0.01
0.0367188 0.008
0.0375 0.012
0.0382813 0.024
0.0390625 0.044
0.0398438 0.026
0.040625 0.062
0.0414063 0.082
0.0421875 0.056
0.0429688 0.08
0.04375 0.116
0.0445313 0.106
0.0453125 0.152
0.0460938 0.136
0.046875 0.172
0.0476562 0.216
0.0484375 0.222
0.0492188 0.22
0.05 0.274
0.0507812 0.274
0.0515625 0.288
0.0523438 0.3
0.053125 0.306
0.0539063 0.36
0.0546875 0.39
0.0554687 0.428
0.05625 0.454
0.0570313 0.42
0.0578125 0.474
0.0585938 0.522
0.059375 0.484
0.0601562 0.564
0.0609375 0.554
0.0617188 0.582
0.0625 0.586
0.0632812 0.624
0.0640625 0.654
0.0648438 0.644
0.065625 0.688
0.0664062 0.69
0.0671875 0.684
0.0679688 0.752
0.06875 0.736
0.0695313 0.754
0.0703125 0.79
0.0710938 0.8
0.071875 0.806
0.0726563 0.824
0.0734375 0.826
0.0742188 0.814
0.075 0.834
0.0757813 0.842
0.0765625 0.848
0.0773438 0.882
0.078125 0.87
0.0789063 0.876
0.0796875 0.88
0.0804688 0.914
0.08125 0.904
0.0820313 0.926
0.0828125 0.93
0.0835938 0.928
0.084375 0.91
0.0851563 0.93
0.0859375 0.948
0.0867188 0.94
0.0875 0.94
0.0882813 0.954
0.0890625 0.974
0.0898438 0.942
0.090625 0.962
0.0914063 0.976
0.0921875 0.97
0.0929688 0.96
0.09375 0.958
0.0945312 0.97
0.0953125 0.968
0.0960938 0.976
0.096875 0.98
0.0976562 0.966
0.0984375 0.972
0.0992188 0.984
0.1 0.986
0.100781 0.99
0.101562 0.988
0.102344 0.972
0.103125 0.984
0.103906 0.986
0.104688 0.988
0.105469 0.984
0.10625 0.982
0.107031 0.986
0.107813 0.99
0.108594 0.998
0.109375 0.996
0.110156 0.986
0.110937 0.994
0.111719 0.996
0.1125 0.992
0.113281 0.998
0.114063 0.994
0.114844 0.998
0.115625 0.998
0.116406 0.996
0.117188 0.99
0.117969 0.994
0.11875 0.996
0.120312 0.996
0.121094 0.996
0.121875 0.998
0.125 0.998
0.13125 0.998
0.134375 0.998
0.135156 1
0.135938 1
0.1375 1
0.15 1
0.2 1
0.3 1
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
1 1
