# N=60 REP=500 dy=0.1
# p-connected p
0 60
0.003125 59.95
0.0046875 59.876
0.00625 59.806
0.00703125 59.714
0.0078125 59.65
0.00859375 59.584
0.009375 59.502
0.0101563 59.416
0.0109375 59.332
0.0117188 59.17
0.0125 59.162
0.0132813 59.022
0.0140625 58.898
0.0148437 58.8
0.015625 58.716
0.0164063 58.542
0.0171875 58.442
0.0179688 58.306
0.01875 58.076
0.0195313 57.95
0.0203125 57.828
0.0210938 57.604
0.021875 57.354
0.0226563 57.218
0.0234375 57.018
0.0242188 56.886
0.025 56.622
0.0257813 56.408
0.0265625 56.354
0.0273438 56.062
0.028125 55.816
0.0289063 55.586
0.0296875 55.258
0.0304687 55.214
0.03125 54.814
0.0320312 54.498
0.0328125 54.476
0.0335938 54.214
0.034375 53.794
0.0351562 53.628
0.0359375 53.31
0.0367188 53.002
0.0375 52.94
0.0382813 52.578
0.0390625 52.14
0.0398438 51.936
0.040625 51.712
0.0414063 51.292
0.0421875 51.086
0.0429688 50.77
0.04375 50.344
0.0445313 50.154
0.0453125 49.676
0.0460938 49.286
0.046875 49.198
0.0476562 48.82
0.0484375 48.34
0.0492188 48.188
0.05 48.006
0.0507812 47.33
0.0515625 47.208
0.0523438 46.686
0.053125 46.468
0.0539063 46.242
0.0546875 45.786
0.0554687 45.532
0.05625 45.078
0.0570313 44.56
0.0578125 44.212
0.0585938 43.928
0.059375 43.444
0.0601562 43.282
0.0609375 42.52
0.0617188 42.354
0.0625 41.838
0.0632812 41.824
0.0640625 41.186
0.0648438 40.876
0.065625 40.478
0.0664062 39.946
0.0671875 39.93
0.0679688 39.128
0.06875 38.878
0.0695313 38.724
0.0703125 38.222
0.0710938 37.876
0.071875 37.636
0.0726563 37.064
0.0734375 36.728
0.0742188 36.208
0.075 35.88
0.0757813 35.416
0.0765625 35.154
0.0773438 34.648
0.078125 34.258
0.0789063 33.954
0.0796875 33.35
0.0804688 33.122
0.08125 32.72
0.0820313 32.566
0.0828125 31.838
0.0835938 31.268
0.084375 31.148
0.0851563 30.81
0.0859375 30.342
0.0867188 30.068
0.0875 29.472
0.0882813 29.278
0.0890625 28.736
0.0898438 28.472
0.090625 27.834
0.0914063 27.836
0.0921875 27.106
0.0929688 26.902
0.09375 26.748
0.0945312 26.002
0.0953125 25.94
0.0960938 25.332
0.096875 25.168
0.0976562 24.444
0.0984375 24.264
0.0992188 24.054
0.1 23.532
0.100781 23.214
0.101562 22.988
0.102344 22.466
0.103125 22.04
0.103906 21.916
0.104688 21.56
0.105469 20.826
0.10625 21.08
0.107031 20.484
0.107813 19.978
0.108594 20.034
0.109375 19.492
0.110156 19.098
0.110937 18.944
0.111719 18.584
0.1125 18.364
0.113281 17.924
0.114063 17.296
0.114844 17.254
0.115625 16.998
0.116406 16.634
0.117188 16.124
0.117969 15.954
0.11875 15.732
0.119531 15.466
0.120312 15.212
0.121094 14.842
0.121875 14.514
0.122656 14.144
0.123438 14.094
0.124219 13.742
0.125 13.49
0.125781 13.066
0.126562 12.738
0.127344 12.66
0.128125 12.358
0.128906 12.194
0.129688 11.89
0.130469 11.5
0.13125 11.272
0.132031 11.058
0.132812 11.142
0.133594 10.762
0.134375 10.454
0.135156 10.284
0.135938 10.08
0.136719 9.922
0.1375 9.454
0.138281 9.386
0.139063 9.106
0.139844 8.91
0.140625 8.784
0.141406 8.538
0.142188 8.496
0.142969 7.982
0.14375 8.01
0.144531 7.752
0.145313 7.604
0.146094 7.438
0.146875 7.336
0.147656 7.044
0.148438 6.908
0.149219 6.664
0.15 6.528
0.150781 6.692
0.151563 6.348
0.152344 6.158
0.153125 5.904
0.153906 5.858
0.154688 5.692
0.155469 5.48
0.15625 5.392
0.157813 5.384
0.158594 4.978
0.159375 4.93
0.160156 4.812
0.160938 4.74
0.161719 4.574
0.1625 4.486
0.163281 4.414
0.164063 4.2
0.165625 4.106
0.166406 4.002
0.167188 3.842
0.167969 3.854
0.16875 3.718
0.169531 3.682
0.170313 3.55
0.171094 3.494
0.171875 3.358
0.172656 3.158
0.173438 3.176
0.175 3.088
0.176563 3.024
0.177344 2.87
0.178125 2.848
0.178906 2.818
0.179688 2.716
0.18125 2.664
0.182031 2.568
0.182813 2.542
0.184375 2.442
0.185156 2.302
0.185938 2.338
0.186719 2.302
0.1875 2.236
0.189062 2.156
0.189844 2.184
0.190625 2.042
0.192188 2.026
0.192969 1.956
0.19375 1.92
0.196875 1.838
0.198438 1.768
0.2 1.728
0.203125 1.632
0.203906 1.628
0.204688 1.522
0.20625 1.508
0.209375 1.548
0.210938 1.452
0.2125 1.404
0.21875 1.37
0.220312 1.308
0.221875 1.238
0.225 1.246
0.2375 1.16
0.25 1.076
0.3 1.012
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
1 1
