# N=60 REP=500 dy=0.1
# p-connected p
0 60
0.00078125 58.58
0.0015625 57.318
0.00234375 55.764
0.003125 54.338
0.00390625 52.966
0.0046875 51.64
0.00546875 50.446
0.00625 48.892
0.00703125 47.648
0.0078125 46.008
0.00859375 44.636
0.009375 43.288
0.0101563 42.084
0.0109375 40.698
0.0117188 39.578
0.0125 37.692
0.0132813 36.924
0.0140625 35.176
0.0148437 33.914
0.015625 32.436
0.0164063 31.594
0.0171875 30.3
0.0179688 28.886
0.01875 27.462
0.0195313 26.04
0.0203125 25.546
0.0210938 24.138
0.021875 22.938
0.0226563 22.202
0.0234375 20.556
0.0242188 20.106
0.025 18.63
0.0257813 17.538
0.0265625 17.008
0.0273438 15.712
0.028125 15.374
0.0289063 14.718
0.0296875 13.754
0.0304687 13.34
0.03125 12.446
0.0320312 12.006
0.0328125 11.392
0.0335938 10.65
0.034375 10.132
0.0351562 9.838
0.0359375 8.966
0.0367188 8.716
0.0375 8.456
0.0382813 7.982
0.0390625 7.756
0.0398438 7.498
0.040625 6.934
0.0414063 6.672
0.0421875 6.462
0.0429688 6.192
0.04375 5.83
0.0445313 5.7
0.0453125 5.43
0.0460938 5.24
0.046875 5.004
0.0476562 4.814
0.0484375 4.498
0.05 4.44
0.0507812 3.956
0.0515625 3.842
0.0523438 3.672
0.053125 3.62
0.0539063 3.406
0.0546875 3.236
0.05625 3.166
0.0570313 3.088
0.0578125 2.92
0.0585938 2.816
0.059375 2.778
0.0601562 2.586
0.0609375 2.548
0.0617188 2.456
0.0625 2.354
0.0640625 2.328
0.0648438 2.144
0.065625 2.156
0.0671875 2.082
0.0679688 1.964
0.06875 1.842
0.071875 1.814
0.0726563 1.66
0.0734375 1.66
0.075 1.638
0.0765625 1.574
0.078125 1.51
0.0796875 1.43
0.08125 1.356
0.0875 1.264
0.090625 1.212
0.09375 1.144
0.1 1.152
0.10625 1.078
0.1125 1.04
0.125 1.014
0.15 1
0.2 1
0.3 1
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
1 1
