# N=80 REP=500 dy=0.1
# p-connected p
0 80
0.00078125 77.55
0.0015625 75.104
0.00234375 72.424
0.003125 70.08
0.00390625 67.532
0.0046875 65.06
0.00546875 62.446
0.00625 60.1
0.00703125 57.526
0.0078125 54.864
0.00859375 53.382
0.009375 50.538
0.0101563 47.9
0.0109375 45.824
0.0117188 43.056
0.0125 40.816
0.0132813 38.946
0.0140625 36.444
0.0148437 34.144
0.015625 32.816
0.0164063 29.978
0.0171875 28.014
0.0179688 26.93
0.01875 24.484
0.0195313 22.634
0.0203125 21.138
0.0210938 19.814
0.021875 18.576
0.0226563 17.48
0.0234375 16.214
0.0242188 15.356
0.025 14.176
0.0257813 13.48
0.0265625 12.362
0.0273438 11.614
0.028125 10.64
0.0289063 10.298
0.0296875 9.444
0.0304687 8.976
0.03125 8.524
0.0320312 7.88
0.0328125 7.342
0.0335938 6.9
0.034375 6.566
0.0351562 6.238
0.0359375 5.918
0.0367188 5.61
0.0375 5.19
0.0382813 4.852
0.0390625 4.566
0.0398438 4.536
0.040625 4.288
0.0414063 4.098
0.0421875 3.88
0.0429688 3.688
0.04375 3.548
0.0445313 3.248
0.0453125 3.152
0.0460938 2.93
0.046875 2.872
0.0476562 2.674
0.0484375 2.726
0.0492188 2.54
0.05 2.482
0.0507812 2.412
0.0515625 2.238
0.0523438 2.22
0.053125 2.108
0.0539063 2.028
0.0546875 2.004
0.0554687 1.96
0.05625 1.862
0.0570313 1.776
0.0578125 1.728
0.059375 1.68
0.0601562 1.636
0.0609375 1.576
0.0625 1.492
0.0640625 1.396
0.065625 1.37
0.06875 1.32
0.0703125 1.238
0.071875 1.208
0.075 1.174
0.08125 1.106
0.0875 1.05
0.1 1.018
0.2 1
0.3 1
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
1 1
